loan_id,application_id,jurisdiction,status,origination_date,apr
L0001,A0001,TALA,FUNDED,2026-04-06,19.00
L0002,A0002,ORIN,FUNDED,2026-04-09,20.00
L0003,A0004,MIRA,FUNDED,2026-04-15,24.00
L0004,A0005,TALA,FUNDED,2026-04-18,22.00
L0005,A0007,ORIN,FUNDED,2026-04-24,23.00
L0006,A0008,MIRA,FUNDED,2026-04-27,24.01
L0007,A0010,TALA,FUNDED,2026-05-03,19.00
L0008,A0011,ORIN,FUNDED,2026-05-06,20.00
L0009,A0013,MIRA,FUNDED,2026-05-12,27.00
L0010,A0014,TALA,FUNDED,2026-05-15,22.00
L0011,A0016,ORIN,FUNDED,2026-05-21,23.00
L0012,A0017,MIRA,FUNDED,2026-05-24,18.00
L0013,A0019,TALA,FUNDED,2026-05-30,19.00
L0014,A0020,ORIN,FUNDED,2026-06-02,20.00
L0015,A0022,MIRA,FUNDED,2026-06-08,105.00
L0016,A0023,TALA,FUNDED,2026-06-11,22.00
L0017,A0025,ORIN,FUNDED,2026-04-03,23.00
L0018,A9999,MIRA,FUNDED,2026-04-06,18.00
L0019,A0028,TALA,FUNDED,2026-04-12,19.00
L0020,A0029,ORIN,FUNDED,2026-04-15,20.00
L0021,A0031,MIRA,FUNDED,2026-04-21,21.00
L0022,A0032,TALA,FUNDED,2026-04-24,22.00
L0023,A0034,ORIN,FUNDED,2026-04-30,23.00
L0024,A0035,MIRA,FUNDED,2026-05-03,18.00
L0025,A0037,TALA,FUNDED,2026-05-09,19.00
L0026,A0038,ORIN,FUNDED,2026-05-12,20.00
L0027,A0041,MIRA,FUNDED,2026-05-21,21.00
L0028,A0043,TALA,FUNDED,2026-05-27,22.00
L0029,A0044,ORIN,FUNDED,2026-05-30,23.00
L0030,A0046,MIRA,FUNDED,2026-06-05,18.00
L0031,A0047,TALA,FUNDED,2026-06-08,19.00
L0032,A0049,ORIN,FUNDED,2026-06-14,20.00
L0033,A0050,MIRA,FUNDED,2026-04-03,21.00
L0034,A0052,TALA,FUNDED,2026-04-09,22.00
L0035,A0053,ORIN,FUNDED,2026-04-12,23.00
L0036,A0055,MIRA,FUNDED,2026-04-18,18.00
L0037,A0056,TALA,FUNDED,2026-04-21,19.00
L0038,A0058,ORIN,FUNDED,2026-04-27,20.00
L0039,A0059,MIRA,FUNDED,2026-04-30,21.00
L0040,A0061,TALA,FUNDED,2026-05-06,22.00
L0041,A0062,ORIN,FUNDED,2026-05-09,23.00
L0042,A0064,MIRA,FUNDED,2026-05-15,18.00
L0043,A0065,TALA,FUNDED,2026-05-18,19.00
L0044,A0067,ORIN,FUNDED,2026-05-24,20.00
L0045,A0068,MIRA,FUNDED,2026-05-27,21.00
L0046,A0070,TALA,FUNDED,2026-06-02,22.00
L0047,A0071,ORIN,FUNDED,2026-06-05,23.00
L0048,A0073,MIRA,FUNDED,2026-06-11,18.00
L0049,A0074,TALA,FUNDED,2026-06-14,19.00
L0050,A0076,ORIN,FUNDED,2026-04-06,20.00
L0051,A0077,MIRA,FUNDED,2026-04-09,21.00
L0052,A0079,TALA,FUNDED,2026-04-15,22.00
