loan_id,application_id,jurisdiction,origination_date,apr,exception_flag
L0003,A0004,MIRA,2026-04-15,24.0,0
L0006,A0008,MIRA,2026-04-27,24.01,1
L0009,A0013,MIRA,2026-05-12,27.0,1
L0012,A0017,MIRA,2026-05-24,18.0,0
L0021,A0031,MIRA,2026-04-21,21.0,0
L0024,A0035,MIRA,2026-05-03,18.0,0
L0027,A0041,MIRA,2026-05-21,21.0,0
L0030,A0046,MIRA,2026-06-05,18.0,0
L0033,A0050,MIRA,2026-04-03,21.0,0
L0036,A0055,MIRA,2026-04-18,18.0,0
L0039,A0059,MIRA,2026-04-30,21.0,0
L0042,A0064,MIRA,2026-05-15,18.0,0
L0045,A0068,MIRA,2026-05-27,21.0,0
L0048,A0073,MIRA,2026-06-11,18.0,0
L0051,A0077,MIRA,2026-04-09,21.0,0
L0054,A0082,MIRA,2026-04-24,18.0,0
L0057,A0086,MIRA,2026-05-06,21.0,0
L0060,A0091,MIRA,2026-05-21,18.0,0
L0063,A0095,MIRA,2026-06-02,21.0,0
L0066,A0100,MIRA,2026-04-03,18.0,0
L0069,A0104,MIRA,2026-04-15,21.0,0
L0072,A0109,MIRA,2026-04-30,18.0,0
L0075,A0113,MIRA,2026-05-12,21.0,0
L0078,A0118,MIRA,2026-05-27,18.0,0
L0081,A0122,MIRA,2026-06-08,21.0,0
L0084,A0127,MIRA,2026-04-09,18.0,0
L0087,A0131,MIRA,2026-04-21,21.0,0
L0090,A0136,MIRA,2026-05-06,18.0,0
L0093,A0140,MIRA,2026-05-18,21.0,0
L0096,A0145,MIRA,2026-06-02,18.0,0
L0099,A0149,MIRA,2026-06-14,21.0,0
L0102,A0154,MIRA,2026-04-15,18.0,0
L0105,A0158,MIRA,2026-04-27,21.0,0
L0108,A0163,MIRA,2026-05-12,18.0,0
L0111,A0167,MIRA,2026-05-24,21.0,0
L0114,A0172,MIRA,2026-06-08,18.0,0
L0117,A0176,MIRA,2026-04-06,21.0,0
