control,record_id,event_date,reason
APR,L0006,2026-04-27,APR_ABOVE_FICTIONAL_LIMIT
APR,L0009,2026-05-12,APR_ABOVE_FICTIONAL_LIMIT
NOTICE,A0009,2026-04-29,NOTICE_LATE
NOTICE,A0012,2026-05-08,NOTICE_LATE
NOTICE,A0015,2026-05-17,NOTICE_MISSING_OVERDUE
NOTICE,A0018,2026-05-26,NOTICE_MISSING_OVERDUE
NOTICE,A0021,2026-06-04,REASON_MISSING
NOTICE,A0024,2026-06-13,REASON_MISSING
DQ,L0015,,INVALID_APR
DQ,L0120,,DUPLICATE_LOAN_ID
DQ,L0018,,ORPHAN_APPLICATION
DQ,A0200,,DUPLICATE_APPLICATION_ID
DQ,A0040,,MISSING_DECISION
DQ,A0027,,NOTICE_BEFORE_DECISION
