application_id,decision_date,notice_date,reason_code,days_to_notice,exception_reason,exception_flag
A0003,2026-04-11,2026-04-16,DEMO_CREDIT_POLICY,5,,0
A0006,2026-04-20,2026-04-25,DEMO_CREDIT_POLICY,5,,0
A0009,2026-04-29,2026-05-05,DEMO_CREDIT_POLICY,6,NOTICE_LATE,1
A0012,2026-05-08,2026-05-14,DEMO_CREDIT_POLICY,6,NOTICE_LATE,1
A0015,2026-05-17,,DEMO_CREDIT_POLICY,,NOTICE_MISSING_OVERDUE,1
A0018,2026-05-26,,DEMO_CREDIT_POLICY,,NOTICE_MISSING_OVERDUE,1
A0021,2026-06-04,2026-06-06,,2,REASON_MISSING,1
A0024,2026-06-13,2026-06-15,,2,REASON_MISSING,1
A0030,2026-04-17,2026-04-19,DEMO_CREDIT_POLICY,2,,0
A0033,2026-04-26,2026-04-28,DEMO_CREDIT_POLICY,2,,0
A0036,2026-05-05,2026-05-07,DEMO_CREDIT_POLICY,2,,0
A0039,2026-05-14,2026-05-16,DEMO_CREDIT_POLICY,2,,0
A0042,2026-05-23,2026-05-25,DEMO_CREDIT_POLICY,2,,0
A0045,2026-06-01,2026-06-03,DEMO_CREDIT_POLICY,2,,0
A0048,2026-06-10,2026-06-12,DEMO_CREDIT_POLICY,2,,0
A0051,2026-04-05,2026-04-07,DEMO_CREDIT_POLICY,2,,0
A0054,2026-04-14,2026-04-16,DEMO_CREDIT_POLICY,2,,0
A0057,2026-04-23,2026-04-25,DEMO_CREDIT_POLICY,2,,0
A0060,2026-05-02,2026-05-04,DEMO_CREDIT_POLICY,2,,0
A0063,2026-05-11,2026-05-13,DEMO_CREDIT_POLICY,2,,0
A0066,2026-05-20,2026-05-22,DEMO_CREDIT_POLICY,2,,0
A0069,2026-05-29,2026-05-31,DEMO_CREDIT_POLICY,2,,0
A0072,2026-06-07,2026-06-09,DEMO_CREDIT_POLICY,2,,0
A0075,2026-04-02,2026-04-04,DEMO_CREDIT_POLICY,2,,0
A0078,2026-04-11,2026-04-13,DEMO_CREDIT_POLICY,2,,0
A0081,2026-04-20,2026-04-22,DEMO_CREDIT_POLICY,2,,0
A0084,2026-04-29,2026-05-01,DEMO_CREDIT_POLICY,2,,0
A0087,2026-05-08,2026-05-10,DEMO_CREDIT_POLICY,2,,0
A0090,2026-05-17,2026-05-19,DEMO_CREDIT_POLICY,2,,0
A0093,2026-05-26,2026-05-28,DEMO_CREDIT_POLICY,2,,0
A0096,2026-06-04,2026-06-06,DEMO_CREDIT_POLICY,2,,0
A0099,2026-06-13,2026-06-15,DEMO_CREDIT_POLICY,2,,0
A0102,2026-04-08,2026-04-10,DEMO_CREDIT_POLICY,2,,0
A0105,2026-04-17,2026-04-19,DEMO_CREDIT_POLICY,2,,0
A0108,2026-04-26,2026-04-28,DEMO_CREDIT_POLICY,2,,0
A0111,2026-05-05,2026-05-07,DEMO_CREDIT_POLICY,2,,0
A0114,2026-05-14,2026-05-16,DEMO_CREDIT_POLICY,2,,0
A0117,2026-05-23,2026-05-25,DEMO_CREDIT_POLICY,2,,0
A0120,2026-06-01,2026-06-03,DEMO_CREDIT_POLICY,2,,0
A0123,2026-06-10,2026-06-12,DEMO_CREDIT_POLICY,2,,0
A0126,2026-04-05,2026-04-07,DEMO_CREDIT_POLICY,2,,0
A0129,2026-04-14,2026-04-16,DEMO_CREDIT_POLICY,2,,0
A0132,2026-04-23,2026-04-25,DEMO_CREDIT_POLICY,2,,0
A0135,2026-05-02,2026-05-04,DEMO_CREDIT_POLICY,2,,0
A0138,2026-05-11,2026-05-13,DEMO_CREDIT_POLICY,2,,0
A0141,2026-05-20,2026-05-22,DEMO_CREDIT_POLICY,2,,0
A0144,2026-05-29,2026-05-31,DEMO_CREDIT_POLICY,2,,0
A0147,2026-06-07,2026-06-09,DEMO_CREDIT_POLICY,2,,0
A0150,2026-04-02,2026-04-04,DEMO_CREDIT_POLICY,2,,0
A0153,2026-04-11,2026-04-13,DEMO_CREDIT_POLICY,2,,0
A0156,2026-04-20,2026-04-22,DEMO_CREDIT_POLICY,2,,0
A0159,2026-04-29,2026-05-01,DEMO_CREDIT_POLICY,2,,0
A0162,2026-05-08,2026-05-10,DEMO_CREDIT_POLICY,2,,0
A0165,2026-05-17,2026-05-19,DEMO_CREDIT_POLICY,2,,0
A0168,2026-05-26,2026-05-28,DEMO_CREDIT_POLICY,2,,0
A0171,2026-06-04,2026-06-06,DEMO_CREDIT_POLICY,2,,0
A0174,2026-06-13,2026-06-15,DEMO_CREDIT_POLICY,2,,0
A0177,2026-04-08,2026-04-10,DEMO_CREDIT_POLICY,2,,0
A0180,2026-04-17,2026-04-19,DEMO_CREDIT_POLICY,2,,0
A0183,2026-04-26,2026-04-28,DEMO_CREDIT_POLICY,2,,0
A0186,2026-05-05,2026-05-07,DEMO_CREDIT_POLICY,2,,0
A0189,2026-05-14,2026-05-16,DEMO_CREDIT_POLICY,2,,0
A0192,2026-05-23,2026-05-25,DEMO_CREDIT_POLICY,2,,0
A0195,2026-06-01,2026-06-03,DEMO_CREDIT_POLICY,2,,0
A0198,2026-06-10,2026-06-12,DEMO_CREDIT_POLICY,2,,0
